iter	Passed	Remaining
0	0	62
1	1	62
2	1	56
3	2	58
4	3	57
5	3	56
6	4	54
7	4	53
8	5	53
9	5	51
10	6	51
11	6	50
12	7	50
13	8	50
14	8	50
15	9	49
16	10	49
17	10	48
18	11	48
19	11	47
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	44
27	16	43
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
